condition,enrollment_seconds,probe_seconds,parameter_matched_stacked_mean_eer,bie_mean_eer,bie_quality_weighted_eer
wake_wake_e300_p300_g30_nested300,300,300,0.3468637102014295,0.3269493177387914,0.32698570500324886
wake_wake_e300_p240_g30_nested300,300,240,0.34895110461338535,0.329371913580247,0.32851543209876544
wake_wake_e300_p180_g30_nested300,300,180,0.3514367283950618,0.3324017218973359,0.332408950617284
wake_wake_e300_p120_g30_nested300,300,120,0.35490529564652373,0.3379517543859649,0.3381825048732944
wake_wake_e300_p60_g30_nested300,300,60,0.3618240740740741,0.3473397498375569,0.3479558966861599
wake_wake_e300_p30_g30_nested300,300,30,0.36870995776478227,0.3584565464587394,0.359090318388564
wake_wake_e240_p240_g30_nested300,240,240,0.35479337231968816,0.33439920402858997,0.33509178037686815
wake_wake_e240_p60_g30_nested300,240,60,0.3663875081221572,0.35301096491228073,0.3539032651072125
wake_wake_e180_p180_g30_nested300,180,180,0.3628589181286549,0.3480640838206628,0.3470355750487329
wake_wake_e180_p60_g30_nested300,180,60,0.37169493177387913,0.3619262508122157,0.36158447043534764
wake_wake_e120_p120_g30_nested300,120,120,0.3734550844704353,0.3634316114359974,0.3638808479532164
wake_wake_e120_p60_g30_nested300,120,60,0.3793527452891488,0.37028338206627676,0.37028622482131257
wake_wake_e60_p60_g30_nested300,60,60,0.39117771280051983,0.38314205653021444,0.3825603476283301
wake_wake_e30_p60_g30_nested300,30,60,0.39733373944119554,0.3961356400259909,0.39622936972059775
wake_wake_e30_p30_g30_nested300,30,30,0.4025778102664067,0.4035522254710851,0.4035522254710851
